StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1FD01,FD140566,QUAIL EGG PEEL(1x50),ไข่นกกระทาปอกเปลือก(1x50),PCS,0.0000
1FD01,FD140567,SALAD CREAM BEST FOODS 1KG.(1x9)/(184315),สลัดครีมเบสท์ฟู้ดส์ 1 กก.(1x9)/(184315),KG,0.0000
1FD01,FD140568,MILK SOY LOW SUGAR TOFU SAN 830ML.(202231),น้ำนมถั่วเหลืองรสหวานน้อยโทฟุซัง 830มล.(202231),BTL,0.0000
1FD01,FD140569,MILK SWEET CONDENSED CANATION 505G./812394,นมข้นหวานกระป๋อง 505G.ตราคาเนชั่น/812394,G,0.0000
1FD01,FD140570,CREAMER SWEETENED BEVERAGE 388 G.(1x3)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x3)/(24700),G,0.0000
1FD01,FD140571,TARTAR DRESSINGS BEST FOODS 1 KG. (825315),ทาร์ทาร์เดรสซิ่งเบสท์ฟู้ดส์ 1 กก.(825315),KG,0.0000
1FD01,FD140572,THOUSAND ISLAND BEST FOODS 1 KG.(1x9) (184324),น้ำสลัดเทาซันไอแลนด์เบสท์ฟู้ดส์1 กก.(1x9)/(184324),KG,0.0000
1FD01,FD140573,TOPPING BLUEBERRY ARO 1.2 KG. (126098),ท็อปปิ้งรสบลูเบอรี่เอโร่ 1.2กก.(126098),KG,0.0000
1FD01,FD140574,TOPPING STRAWBERRY SAUCE ARO 1.2 KG.(165217),ท็อปปิ้งรสสตรอเบอรี่เอโร่ 1.2กก.(165217),KG,0.0000
1FD01,FD140575,BUTTER UNSALTED PREMUIUM ALLOWRIE 2KG.(837132),เนยแท้ชนิดจืดอลาวรี่พรีเมี่ยม 2กก.(837132),KG,0.0000
1FD01,FD140576,FILLING VANILLA FLAVOR YOU YEE 900 G. (507641),ฟีลลิ่งกลิ่นวานิลายูยี  900ก.(507641),G,0.0000
1FD01,FD140577,WHIPPING  CREAM HI-ROAD 1L.,วิปปิ้งครีมนอนแดรี่ ไฮโรด 1 ลิตร,LTR,0.0000
1FD01,FD140578,WHIPPING CREAM ELL&VIRE 1L.,WHIPPING CREAM ELL&VIRE 1L.,LTR,0.0000
1FD01,FD140579,WHIPPING CREAM LACTOFIL GOLD 1L.(1x12),วิปปิ้งครีมแลคโตฟิลโกลด์ 1ล.(1x12),BOX,0.0000
1FD01,FD140580,BUTTER WHITE OPCREAM 1 KG.(177832),เนยขาวโอลิมปิคครีมโอพีครีม 1 กก.(177832),KG,0.0000
1FD01,FD140581,YOGHURT PLAIN GALLON 2KG.,โยเกิร์ตธรรมชาติ 2 กก.,KG,0.0000
1FD01,FD140582,ไข่แดงเค็ม(1x10ฟอง),ไข่แดงเค็ม(1x10 ฟอง),PCS,0.0000
1FD01,FD140583,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/23569,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/(23569),G,0.0000
1FD01,FD140584,นมจืดเอกตร้าคาร์เนชั่น 385ก.,นมจืดเอกตร้าคาร์เนชั่น 385ก.,G,0.0000
1FD01,FD140585,นมสดรสจืดเมจิ 2 ลิตร,นมสดรสจืดเมจิ 2 ลิตร,LTR,0.0000
1FD01,FD150586,ALMOND WHOLE 1 KG. (818285),อัลม่อลเม็ด 1 กก. (818285),KG,0.0000
1FD01,FD150587,AMUL GHEE 1 L. (852349),เนยใสอมูลกี 1 ลิตร (852349),LTR,0.0000
1FD01,FD150588,AROMAT FLAVORED  1KG.(1x6)/(119006),อโรมาต คนอร์ 1 กก.(1x6)/(119006),KG,0.0000
1FD01,FD150589,ASFOTIDA Hing 50G.,ASFOTIDA Hing 50G.,G,0.0000
1FD01,FD150590,BAKED BEANS IN TOMOTO 425G.(1x24)/(230091),ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091),CAN,0.0000
