SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,,100,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,100,,,,N,0,,,,,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,78,,,,N,0,,,,,,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,,285,,,,N,0,,,,,,,
'11000019,FRESH SALMON 4-5 KG,ปลาแซลมอนสด 4-5กก./ตัว,KG,,,630,,,,N,0,,,,,,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,150,,,,N,0,,,,,,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,76,,,,N,0,,,,,,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,76,,,,N,0,,,,,,,
'11000028,TUNA SAKU A,ทูน่าซากุ เกรด A,KG,,,660,,,,N,0,,,,,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,84,,,,N,0,,,,,,,
'10010006,PORK LIVER,ตับหมู,KG,,,195,,,,N,0,,,,,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,780,,,,N,0,,,,,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,140,,,,N,0,,,,,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,115,,,,N,0,,,,,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,135,,,,N,0,,,,,,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,135,,,,N,0,,,,,,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,32,,,,N,0,,,,,,,
10050067,ซาลามี่หมู ตราไทยซอสเซส,ซาลามี่หมู ตราไทยซอสเซส,Kg,0,0,720,THB,0,0,A,7,0,Add,,,,,
'10050050,SALAME BELUCKY,ซาลามี่บีลัคกี้,KG,,,780,,,,A,7,,,,,,,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,165,,,,N,0,,,,,,,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,165,,,,A,7,,,,,,,
'16010014,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,165,,,,A,7,,,,,,,
'10010009,PORK NECK,คอหมู,KG,,,235,,,,N,0,,,,,,,
'14020016,CHEESE CREAM ANCHOR 1KG.(142554),ครีมชีสแองคอร์ 1 กก.(142554),KG,,,480,,,,N,0,,,,,,,
