SKU#,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15120010,ซอสปรุงรส แม็กกี้ 5ล.(118835),GAL,,,210,,,,A,7,,,,,,,
'15120046,ซอสหอยนางรมไฮน์ 5 กก.,GAL,,,210,,,,A,7,,,,,,,
'15120031,ซอสหอยนางรม คนอร์ 5 กก.(103421),GAL,,,213,,,,A,7,,,,,,,
'15000009,DAJEERING BLACK TEA(2G*25 ),BOX,,,220,,,,A,7,,,,,,,
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,220,,,,A,7,,,,,,,
'15000015,ชาเอิร์ลเกรย์ทไวนิงส์ 2ก.(1x25/กล่อง),BOX,,,220,,,,A,7,,,,,,,
'15010045,กระเทียมโทนดองแม่จินต์ 870ก.(154551),BTL,,,220,,,,A,7,,,,,,,
'15000002,ชาลิปตันเหลืองซอง 2ก.( 1*100)/(210390),BOX,,,230,,,,A,7,,,,,,,
'15120053,ซีอิ๋วขาว ตราเด็กสมบูรณ์#สูตร14.5ลิตร(907301),GAL,,,230,,,,A,7,,,,,,,
'15120018,ซีอิ๊วขาว#1 เด็กสมบูรณ์ 4.5 ลิตร(907301),GAL,,,230,,,,A,7,,,,,,,
'15080009,ผงโกโก้ดัทช์ 380/400ก.(137874),CAN,,,255,,,,A,7,,,,,,,
'15120030,ซอสพริก ไฮน์ 5กก.(210724),GAL,,,257,,,,A,7,,,,,,,
'15120033,ซอสมะเขือเทศ ไฮน์  5 กก.(109777),GAL,,,257,,,,A,7,,,,,,,
'15120054,ซอสถั่วเหลือง คิคโคแมน 1.6ล.(124600),BTL,,,270,,,,A,7,,,,,,,
'15010014,เม็ดมะม่วงหิมพานต์อบซีก,BAG,,,275,,,,A,7,,,,,,,
'15120015,ซอสหอยนางรม ตราแม่ครัว 4.5 ลิตร(106957),GAL,,,275,,,,A,7,,,,,,,
15130082,โป๊ยกั๊ก 500ก.ตราไร่ทิพย์,BAG,,,280,,,,N,0,,,,,,,
'15070008,ซีเรียล-คอร์นเฟลกส์เคลล็อกส์ 1.2ก.(860771),BAG,,,289,,,,A,7,,,,,,,
15130041,ผงเดมิเกรชบราวซอส คนอร์ 1 กก.(1x6)/(14404) โกลด์,BOX,,,294,,,,A,7,,,,,,,
'15090015,น้ำผึ้งเวชพงศ์ 760 ซีซี (903344),BTL,,,295,,,,A,7,,,,,,,
'15010004,BALSAMIC VINEGAR 5L.(12501),GAL,,,295,,,,A,7,,,,,,,
'15120002,น้ำพริกเผาไทย แม่ประนอม 3กก.(153014),GAL,,,305,,,,A,7,,,,,,,
'15000025,เนสกาแฟ600กรัม เปลี่ยนขนาดเป็น 620 กรัม,BAG,,,320,,,,A,7,,,,,,,
'15010070,พริกไทยเม็ดดำ1 กก.,KG,,,320,,,,A,7,,,,,,,
'15010166,ทูน่าสเต็กในน้ำมันนอติลุส 1.88กก.(191277),CAN,,,330,,,,A,7,,,,,,,
'15120001,น้ำจิ้มไก่ แม่ประนอม 5 กก.(24908),GAL,,,330,,,,A,7,,,,,,,
'15100004,แยมสตรอเบอรรี่ อิมพีเรียล 4.5 กก.,TANK,,,335,,,,A,7,,,,,,,
'15100002,แยมส้ม อิมพีเรียล 4.5 กก.,TANK,,,335,,,,A,7,,,,,,,
'15100003,แยมสัปปะรด อิมพิเรียล 4.5 กก.,TANK,,,335,,,,A,7,,,,,,,
'15130014,ออริกาโน่ แม็คคอร์มิค 141ก.(184752),BTL,,,350,,,,A,7,,,,,,,
'15010019,เชอร์รี่แดงมีก้านในน้ำเชื่อม S&W 750ก.(184150),BTL,,,370,,,,A,7,,,,,,,
'15130017,ผงปาปริก้า 500ก.(462023033) 454 กรัมเดอร์กี้,BAG,,,372,,,,A,7,,,,,,,
'15130025,ใบไทม์ แม็คคอร์มิค 170ก.(184747),BTL,,,385,,,,A,7,,,,,,,
