Vendor A003               Name  คุณอนันต์ผักสดฟาร์ม บจก.,,,Date From,,01/10/2023,Date To,15/10/2023      Reference #,
SKU #       Description                                            Unit,,,Rank,,Qty From,To,Price    Currency        Market Price Foc Co,
12010138,KANANG : แขนง                                   KG,,,1,0.00,0.00,38.00 THB,0.00 0.00
12010141,MANGO CREST : ยอดมะม่วงหิมพานต์      BUNDLE,,,1,0.00,0.00,10.00 THB,0.00 0.00
12010144,MUSHROOM FRESH SHITAKE 1KG. : เ KG,,,1,0.00,0.00,140.00 THB,0.00 0.00
12010145,OKRA : กระเจ ียบเขียว                             KG,,,1,0.00,0.00,38.00 THB,0.00 0.00
12010146,ONION SPRING FLOWER : ดอกหอม      KG,,,1,0.00,0.00,110.00 THB,0.00 0.00
12010148,PICKLE NUT BIG HEADS : ถั วดองหัวโต   KG,,,1,0.00,0.00,150.00 THB,0.00 0.00
12010149,PICKLED GINGE : ขิงดอง                      BTL,,,1,0.00,0.00,160.00 THB,0.00 0.00
12010151,RED RADISH : เรดิช                              KG,,,1,0.00,0.00,75.00 THB,0.00 0.00
12010152,ROCKET : ร็อกเก็ต                                KG,,,1,0.00,0.00,300.00 THB,0.00 0.00
12010153,SHOWN LEAVES CUT : โชนหั น             KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010154,SUNFLOWER SPROUTS 500 G. (2082  KG,,,1,0.00,0.00,150.00 THB,0.00 0.00
12010156,TOMATO RED CHERRY : มะเขือเทศเชอร KG,,,1,0.00,0.00,75.00 THB,0.00 0.00
12010159,YAM BEAN WHOLE : มันแกวหัว              KG,,,1,0.00,0.00,30.00 THB,0.00 0.00
12010166,ยอดกระถิน : ยอดกระถิน                           BUNDLE,,,1,0.00,0.00,12.00 THB,0.00 0.00
12000016,KIWI FRUIT (1x6)(192259) : กีวี (1x6)(19  PCS,,,1,0.00,0.00,28.00 THB,0.00 0.00
15060002,CHILI PASTE CURRY : เครื องแกงพริก      KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
15060003,GREEN PASTE CURRY : เครื องแกงเขียว  KG,,,1,0.00,0.00,95.00 THB,0.00 0.00
15060004,GROUND SHRIMP PASTE : กะปินํ าพริก   KG,,,1,0.00,0.00,65.00 THB,0.00 0.00
15060005,KATI PASTE CURRY : เครื องแกงกะทิ       KG,,,1,0.00,0.00,85.00 THB,0.00 0.00
15060006,KUENGKANG KAWHMON : เครื องขา้ วหม KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
15060009,MUSMAN CURRY : เครื องแกงมัสมั น        KG,,,1,0.00,0.00,150.00 THB,0.00 0.00
15060010,PANANG CURRY : เครื องแกงแพนง         KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
15060012,PED PASTE CURRY : เครื องแกงผัดเผ็ด    KG,,,1,0.00,0.00,90.00 THB,0.00 0.00
15060014,RED PASTE CURRY : เครื องแกงแดง       KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
15060015,SHRIMP PASTE CURRY : กะปิแกง         KG,,,1,0.00,0.00,35.00 THB,0.00 0.00
15060016,SOUR CURRY : เครื องแกงสม้                   KG,,,1,0.00,0.00,85.00 THB,0.00 0.00
15060017,TAIPLA PASTE CURRY : เครื องแกงไตปล KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
15060018   TORD MAN PLA : ทอดมันปลา,,KG,,1,0.00,0.00,110.00 THB,0.00 0.00
15060019   YELLOW PASTE CURRY : เครื องแกงกะห,,KG,,1,0.00,0.00,100.00 THB,0.00 0.00
,TAM LUNG : ตําลึง(เด็ด)                             KG,,,,,,,
