SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,210,,,,N,0,,,,,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,88,,,,N,0,,,,,,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,82,,,,N,0,,,,,,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,84,,,,N,0,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,95,,,,N,0,,,,,,,
'17060001,SPINACH BALL  1KG. (110002),ผักโขมกลมแช่แข็ง 1 กก.(110002),KG,,,78,,,,N,0,,,,,,,
'17060003,FROZEN MIXED VEGETABLE DX 103(125186),ผักรวมแช่แข็ง DX103(125186),KG,,,72,,,,N,0,,,,,,,
'16010009,"TORTILLAS 8"" (1x10 PCS)/(110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)/(110045)",PACK,,,100,,,,N,0,,,,,,,
'16010022,FROZEN ROTI SHEET ARO 1.6KG.(1x20)/(137426),แผ่นแป้งโรตีแช่แข็ง เอโร่ 1.6กก.(1x20)/(137426),PACK,,,310,,,,N,0,,,,,,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,85,,,,N,0,,,,,,,
'16010020,FROZEN AUTHENTIC HALDIRAM 60G.(1x20PCS)(838152),โรตีโฮมสไตล์พาราธา ฮาดิรัม 60ก.(1x20ชิ้น)/(838152),BAG,,,65,,,,N,0,,,,,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,80,,,,N,0,,,,,,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,235,,,,N,0,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,40,,,,N,0,,,,,,,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,110,,,,N,0,,,,,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,80,,,,N,0,,,,,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,80,,,,N,0,,,,,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,,300,,,,N,0,,,,,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,290,,,,N,0,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,44,,,,N,0,,,,,,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลายี่ห้อ PFP 500ก.,PACK,,,120,,,,N,0,,,,,,,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,130,,,,N,0,,,,,,,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,235,,,,N,0,,,,,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,N,0,,,,,,,
