SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#
'15010108,DAL MASOOR(ORANGE)500G./PACK,DAL MASOOR (ORANGE) 500G./PACK,PACK,,,200,,,,A,7,
'15010115,GREEN BEAN HALF,ถั่วเขียวซีก,KG,,,200,,,,A,7,
'15010153,RAI MUSTARD SEED 500G.,RAI MUSTARD SEED 500G.,BAG,,,200,,,,A,7,
'15130008,CORIANDER POWDER  500G.,เมล็ดผักชีป่น 500ก.,BAG,,,200,,,,A,7,
'15130039,CORRIANDER POWDER 500G./PACK,CORRIANDER POWDER 500G./PACK,PACK,,,200,,,,A,7,
'15130064,SOUNF GREEN 500G./PACK,SOUNF GREEN 500G./PACK,PACK,,,200,,,,A,7,
'15000004,TATA TEA  500G./PACK,TATA TEA  500G./PACK,PACK,,,220,,,,A,7,
'15010031,GULAB JAMUN PANJABI 1KG.(852940),กุหลาบจามุนปันจาบี 1 กก.(852940),CAN,,,250,,,,A,7,
'15130021,RED CHILLI POWDER EVEREST 500 G. (102556),พริกป่นแดงอินเดีย ยี่ห้อเอเวอร์เรสต์ 500ก.(102556),BAG,,,250,,,,A,7,
'15010068,SEEDS PUMPKIN HERITAGE 454G.(184221),เมล็ดฟักทองอบเฮอริเทจ 454ก.(184221),BAG,,,280,,,,A,7,
'15010012,CARDAMON 200G.(175496),ลูกกระวานเทศ 200ก.(175496),BAG,,,300,,,,A,7,
'15010040,PANI PURI DRY 1KG.(915327),แผ่นแป้งทอดปานิปูริ(อินเดีย) 1KG.(915327),KG,,,300,,,,A,7,
'15010084,MIXED PICKLE 1KG.,MIXED PICKLE 1KG.,KG,,,300,,,,A,7,
'15010085,ACHAR (MIX PICKLE) 1KG./BOX (839527),ACHAR (MIX PICKLE) 1KG./BOX(839527),BOX,,,300,,,,A,7,
'15050005,FLOUR WHEAT CHAKKI RAJDHANI ATTA 5KG.(145812),แป้งข้าวสาลี ราชดรานี ATTA 5กก.(145812),BAG,,,300,,,,A,7,
'15150004,CHEES PANEER  INDIN 1 KG.,เต้าหู้อินเดีย PANEER 1KG.,KG,,,320,,,,A,7,
'15010070,BLACK PEPPER 1 kg.,พริกไทยเม็ดดำ1 กก.,KG,,,350,,,,A,7,
'15130009,CORIANDER POWDER 1KG.(165857),เม็ดผักชีป่น 1 กก.(165857),KG,,,400,,,,A,7,
'15130010,CORIANDER SEED 1KG.(165856),เม็ดผักชี 1 กก.(165856),KG,,,400,,,,A,7,
'15130011,CUMIN SEEDS 500G.,เมล็ดยี่หร่า 500ก.,BAG,,,400,,,,A,7,
'15130032,CUMIN POWDER 500G./BAG,ผงยี่หร่า 500ก./ถุง,BAG,,,400,,,,A,7,
'15130047,GREEN CARDAMOM 200G.(175498),ลูกกระวานเขียว 200 ก.(175498),BAG,,,400,,,,A,7,
'15130052,KAMIN-POWDER,ขมิ้นผง,KG,,,450,,,,A,7,
'15130007,CHINESE ANLE ( POY KAK ),โป๊ยกั๊ก,KG,,,500,,,,A,7,
'15130038,CLOVES ( KAN PHU ),กานพลู,KG,,,500,,,,A,7,
'15010002,AMUL GHEE 1 L. (852349),เนยใสอมูลกี 1 ลิตร (852349),BTL,,,550,,,,A,7,
'15140004,RICE BASMATI KITCHENKING 5KG.(913352),ข้าวบาสมาติก คิดเช็นคิง 5 กก.(913352),BAG,,,550,,,,A,7,
'15010171,YEE RA SEED 1KG.(165858),เม็ดยี่หร่า 1 กก.(165858),BAG,,,800,,,,A,7,
'15130048,GREEN ELICHI CARDAMON (165862),GREEN ELICHI CARDAMON (165862),KG,,,2000,,,,A,7,
